1000001,AC_Schnitzer
1000002,Arash
1000003,阿尔法罗密欧
1000004,阿斯顿·马丁
1000005,安凯客车
1000006,奥迪
1000007,巴博斯
1000008,宝骏
1000009,宝马
1000010,宝沃
1000011,保时捷
1000012,北京
1000013,北汽幻速
1000014,北汽绅宝
1000015,北汽威旺
1000016,北汽新能源
1000017,北汽制造
1000018,奔驰
1000019,奔腾
1000020,本田
1000021,比亚迪
1000022,标致
1000023,别克
1000024,宾利
1000025,布加迪
1000026,昌河
1000027,长安
1000028,长安商用
1000029,长城
1000030,成功汽车
1000031,Dacia
1000032,DMC
1000033,DS
1000034,大发
1000035,大众
1000036,道奇
1000037,东风
1000038,东风风度
1000039,东风风神
1000040,东风风行
1000041,东风小康
1000042,东南
1000043,Faraday_Future
1000044,Fisker
1000045,法拉利
1000046,菲亚特
1000047,丰田
1000048,福迪
1000049,福汽启腾
1000050,福特
1000051,福田
1000052,GMC
1000053,Gumpert
1000054,观致
1000055,光冈
1000056,广汽传祺
1000057,广汽吉奥
1000058,Hennessey
1000059,哈飞
1000060,哈弗
1000061,海格
1000062,海马
1000063,悍马
1000064,恒天
1000065,红旗
1000066,华利
1000067,华普
1000068,华骐
1000069,华颂
1000070,华泰
1000071,黄海
1000072,Jeep
1000073,吉利汽车
1000074,江淮
1000075,江铃
1000076,江铃集团轻汽
1000077,捷豹
1000078,金杯
1000079,金龙
1000080,金旅
1000081,九龙
1000082,KTM
1000083,卡尔森
1000084,卡威
1000085,开瑞
1000086,凯佰赫
1000087,凯迪拉克
1000088,凯翼
1000089,科尼赛克
1000090,克莱斯勒
1000091,兰博基尼
1000092,蓝旗亚
1000093,朗世
1000094,劳斯莱斯
1000095,雷克萨斯
1000096,雷诺
1000097,理念
1000098,力帆
1000099,莲花汽车
1000100,猎豹汽车
1000101,林肯
1000102,铃木
1000103,领志
1000104,陆风
1000105,路虎
1000106,路特斯
1000107,MG
1000108,MINI
1000109,马自达
1000110,玛莎拉蒂
1000111,迈巴赫
1000112,迈凯伦
1000113,摩根
1000114,nanoFLOWCELL
1000115,Noble
1000116,纳智捷
1000117,南京金龙
1000118,讴歌
1000119,欧宝
1000120,欧朗
1000121,帕加尼
1000122,佩奇奥
1000123,奇瑞
1000124,启辰
